Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	loss normal	loss gradient	
0.010000	0.043397	0.019946	99.798333	99.390000	0.008423	1.748680	
0.010000	0.042967	0.020210	99.808333	99.350000	0.008113	1.742682	
0.010000	0.041534	0.018795	99.816667	99.390000	0.008207	1.666381	
0.010000	0.040931	0.019172	99.806667	99.260000	0.008127	1.640215	
0.010000	0.041839	0.017923	99.811667	99.370000	0.007908	1.696534	
0.010000	0.041018	0.017397	99.805000	99.390000	0.007889	1.656428	
0.010000	0.040672	0.019497	99.835000	99.350000	0.007494	1.658881	
0.010000	0.040015	0.017276	99.813333	99.380000	0.007404	1.630559	
0.010000	0.042620	0.021310	99.815000	99.320000	0.007941	1.733994	
0.010000	0.040664	0.018039	99.840000	99.400000	0.007196	1.673396	
0.010000	0.040699	0.018847	99.831667	99.310000	0.007241	1.672879	
state['lr']: 
0.001
0.001000	0.035056	0.016435	99.906667	99.490000	0.005147	1.495450	
0.001000	0.033275	0.016247	99.926667	99.500000	0.004804	1.423543	
0.001000	0.033135	0.016004	99.920000	99.480000	0.004765	1.418481	
0.001000	0.032870	0.016202	99.923333	99.470000	0.004671	1.409929	
0.001000	0.032830	0.016055	99.926667	99.490000	0.004658	1.408589	
0.001000	0.032642	0.016143	99.925000	99.510000	0.004635	1.400359	
0.001000	0.032928	0.016209	99.941667	99.460000	0.004563	1.418211	
0.001000	0.032702	0.016283	99.930000	99.430000	0.004479	1.411129	
0.001000	0.032500	0.016380	99.928333	99.450000	0.004487	1.400624	
0.001000	0.033064	0.016326	99.933333	99.410000	0.004461	1.430147	
{'adv_only': False, 'checkpoint': None, 'ckpt_interval': 10, 'dataset': 'MNIST', 'debug_mode': False, 'drop': 0, 'epochs': 100, 'epsilon': 0.3, 'evaluate': False, 'gamma': 0.1, 'gpu_id': '2', 'lambada': 0.02, 'lr': 0.001, 'manualSeed': 1000, 'method': 'LFM', 'momentum': 0.9, 'mu': 1.0, 'norm': 'l_inf', 'num_steps': 40, 'opt_g_gamma': 0.1, 'opt_g_lr': 0.1, 'opt_g_schedule': [100, 150, 200], 'opt_g_weight_decay': 0.0002, 'resume': '', 'save_dir': '0503dc_mnist', 'schedule': [90], 'start_epoch': 0, 'step_size': 0.01, 'test_batch': 128, 'train_batch': 128, 'weight_decay': 0, 'workers': 4}

Best acc: 
99.51
