Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	1.974933	1.676319	44.204000	42.420000	
0.100000	1.970192	1.697489	44.180000	40.000000	
0.100000	1.962035	1.707976	44.740000	36.210000	
0.100000	1.958736	1.590830	44.526000	44.510000	
0.100000	1.963008	1.616818	44.628000	47.540000	
0.100000	1.963515	1.609582	44.274000	44.620000	
0.100000	1.960659	1.643937	44.780000	44.800000	
0.100000	1.965350	1.595770	44.672000	44.880000	
0.100000	1.972126	1.554110	44.412000	46.220000	
0.100000	1.958694	1.636873	45.170000	43.160000	
0.100000	1.968273	1.583936	44.526000	44.530000	
0.100000	1.966575	1.608128	44.504000	44.920000	
0.100000	1.961451	1.523617	44.842000	49.490000	
0.100000	1.964509	1.626594	45.028000	46.950000	
0.100000	1.963700	1.798723	45.120000	36.470000	
0.100000	1.975821	1.581879	43.896000	45.310000	
0.100000	1.960641	1.584359	45.232000	42.400000	
0.100000	1.956505	1.582289	45.438000	46.560000	
0.100000	1.960023	1.590386	44.874000	44.950000	
0.100000	1.959389	1.623627	45.024000	42.420000	
0.100000	1.959810	1.571322	44.642000	43.410000	
0.100000	1.957774	1.568788	45.124000	46.010000	
0.100000	1.958882	1.548095	44.676000	45.870000	
0.100000	1.976873	1.587161	43.568000	46.200000	
0.100000	1.969308	1.593295	44.452000	43.570000	
0.100000	1.962078	1.617266	44.796000	44.270000	
0.100000	1.964355	1.614813	44.868000	46.300000	
0.100000	1.955834	1.596894	45.024000	44.040000	
0.100000	1.960729	1.621551	44.622000	43.480000	
0.100000	1.961793	1.589053	44.572000	45.400000	
0.100000	1.958800	1.539025	44.616000	44.430000	
0.100000	1.963460	1.625527	44.534000	40.540000	
0.100000	1.958142	1.729334	45.224000	38.880000	
0.100000	1.958040	1.605358	44.944000	44.300000	
0.100000	1.958079	1.667015	45.330000	42.000000	
0.100000	1.971341	1.664788	44.104000	37.760000	
0.100000	1.985730	1.617812	43.400000	43.600000	
0.100000	1.974186	1.583119	44.274000	42.750000	
0.100000	1.967376	1.603573	44.324000	42.320000	
0.100000	1.969945	1.732636	44.138000	38.140000	
0.100000	1.966162	1.566640	44.480000	45.960000	
0.100000	1.964642	1.600346	44.868000	46.160000	
0.100000	1.965047	1.685226	44.404000	38.260000	
0.100000	1.961104	1.589195	44.910000	42.230000	
0.100000	1.959973	1.596393	44.984000	42.730000	
0.100000	1.960909	1.561473	44.578000	48.120000	
0.100000	1.957438	1.530706	44.990000	47.200000	
0.100000	1.961495	1.672029	44.726000	40.300000	
0.100000	1.958336	1.531428	44.690000	49.150000	
0.100000	1.961755	1.696049	44.866000	41.280000	
state['lr']: 
0.010000000000000002
0.010000	1.885115	1.409536	50.592000	53.600000	
0.010000	1.878663	1.604861	51.252000	47.290000	
0.010000	1.874657	1.375228	51.500000	55.390000	
0.010000	1.879965	1.519013	51.314000	50.740000	
0.010000	1.887445	1.557520	51.338000	48.690000	
0.010000	1.882897	1.410419	51.128000	54.170000	
0.010000	1.876341	1.609563	52.132000	47.890000	
0.010000	1.880737	1.404012	51.120000	52.610000	
0.010000	1.889754	1.451985	51.276000	53.510000	
0.010000	1.907732	1.797953	49.290000	40.400000	
0.010000	1.955788	1.474848	46.654000	51.420000	
0.010000	1.915639	1.444332	50.350000	52.970000	
0.010000	1.906142	1.423374	51.302000	52.840000	
0.010000	1.897869	1.447420	51.402000	54.410000	
0.010000	1.890074	1.399501	51.808000	54.720000	
0.010000	1.885688	1.401880	51.936000	54.580000	
0.010000	1.887531	1.484374	52.070000	53.120000	
0.010000	1.879810	1.410792	52.434000	52.900000	
0.010000	1.881228	1.387381	52.272000	55.290000	
0.010000	1.881623	1.370145	51.896000	55.390000	
0.010000	1.883842	1.404105	51.814000	52.480000	
0.010000	1.897811	1.420519	51.112000	54.410000	
0.010000	1.873615	1.341031	52.202000	55.850000	
0.010000	1.890169	1.592861	51.288000	50.160000	
0.010000	1.897938	1.454530	50.566000	52.660000	
0.010000	1.881859	1.516625	51.672000	52.710000	
0.010000	1.889930	1.609386	51.200000	48.750000	
0.010000	1.907993	1.466434	50.162000	50.910000	
0.010000	1.889823	1.392488	51.820000	52.700000	
0.010000	1.898853	1.430536	50.514000	52.680000	
0.010000	1.880574	1.419794	52.498000	52.480000	
0.010000	1.884075	1.403494	51.792000	52.230000	
0.010000	1.873758	1.462444	51.966000	53.470000	
0.010000	1.865409	1.707398	51.740000	44.700000	
0.010000	1.932522	1.475604	48.902000	52.110000	
0.010000	1.902146	1.413305	51.272000	54.780000	
0.010000	1.885245	1.497039	51.822000	52.480000	
0.010000	1.895164	1.489781	50.956000	52.320000	
0.010000	1.882168	1.396191	52.052000	54.240000	
0.010000	1.890146	1.450722	51.194000	53.240000	
0.010000	1.880631	1.524939	51.198000	50.330000	
0.010000	1.903554	1.452687	50.560000	52.680000	
0.010000	1.570301	2.008113	55.984000	26.550000	
0.010000	1.977114	2.109267	42.334000	24.490000	
0.010000	2.144227	1.810470	28.548000	34.960000	
0.010000	2.032898	1.636622	38.464000	45.660000	
0.010000	1.971915	1.549212	44.632000	49.100000	
0.010000	1.943204	1.503174	47.380000	50.030000	
0.010000	1.928193	1.502973	49.160000	50.670000	
0.010000	1.917766	1.480232	49.582000	52.340000	
0.010000	1.908682	1.491189	50.154000	51.710000	
0.010000	1.905442	1.460868	50.650000	51.300000	
0.010000	1.788076	1.819772	51.976000	47.490000	
0.010000	1.200180	2.039506	61.810000	26.340000	
0.010000	1.035527	2.132561	66.164000	17.220000	
0.010000	0.956716	2.195397	68.882000	12.060000	
0.010000	0.889655	2.168417	71.124000	19.680000	
0.010000	0.852329	2.120404	72.432000	23.210000	
0.010000	0.808441	2.210353	73.956000	10.020000	
0.010000	0.777505	2.152057	74.954000	17.060000	
0.010000	0.756656	2.202204	75.798000	15.890000	
0.010000	0.731125	2.227876	76.696000	12.210000	
0.010000	0.700331	2.214149	77.618000	10.090000	
0.010000	0.682195	2.243622	78.102000	10.240000	
0.010000	0.665386	2.226524	78.666000	10.000000	
0.010000	0.647542	2.238389	79.546000	10.000000	
0.010000	0.636078	2.115427	79.718000	16.810000	
0.010000	0.616646	2.243058	80.412000	10.010000	
0.010000	0.603301	2.221741	80.658000	10.790000	
0.010000	0.592180	2.252987	80.940000	11.260000	
0.010000	0.582437	2.278544	81.332000	10.000000	
0.010000	0.568681	2.259286	81.550000	10.010000	
0.010000	0.566901	2.282043	82.116000	10.000000	
0.010000	0.561553	2.269968	82.194000	10.200000	
0.010000	0.565254	2.273870	82.506000	10.000000	
0.010000	0.561674	2.264848	82.730000	10.000000	
0.010000	0.540410	2.265716	83.120000	10.000000	
0.010000	0.535657	2.271764	83.114000	10.000000	
0.010000	0.540359	2.284402	83.174000	10.000000	
0.010000	0.535898	2.254895	83.376000	13.440000	
0.010000	0.514308	2.283468	83.946000	10.000000	
0.010000	0.515205	2.279243	83.900000	10.000000	
0.010000	0.511397	2.271740	84.008000	10.000000	
0.010000	0.502431	2.271889	84.070000	10.000000	
0.010000	0.500234	2.276760	84.184000	12.040000	
0.010000	0.498428	2.268277	84.318000	14.130000	
0.010000	0.495189	2.244571	84.604000	10.190000	
0.010000	0.482959	2.281315	84.646000	10.000000	
0.010000	0.483806	2.253014	84.850000	10.080000	
0.010000	0.474856	2.278029	84.988000	10.150000	
0.010000	0.462309	2.262226	85.408000	10.000000	
0.010000	0.455443	2.265771	85.586000	10.000000	
0.010000	0.453409	2.305137	85.440000	10.060000	
0.010000	0.448815	2.280245	85.886000	10.000000	
0.010000	0.449745	2.264389	86.042000	10.180000	
0.010000	0.443335	2.277609	86.046000	10.000000	
0.010000	0.436903	2.280600	86.188000	10.000000	
0.010000	0.436576	2.279058	86.382000	10.070000	
0.010000	0.430939	2.279126	86.366000	10.080000	
0.010000	0.427038	2.294507	86.578000	10.000000	
state['lr']: 
0.0010000000000000002
0.001000	0.344331	2.316500	89.060000	10.000000	
0.001000	0.318297	2.322946	89.994000	10.000000	
0.001000	0.310559	2.321155	90.176000	10.000000	
0.001000	0.306423	2.322024	90.376000	10.000000	
0.001000	0.307591	2.313774	90.284000	10.000000	
0.001000	0.299378	2.318933	90.490000	10.000000	
0.001000	0.297093	2.313183	90.560000	10.000000	
0.001000	0.294898	2.323956	90.578000	10.000000	
0.001000	0.289643	2.329256	90.854000	10.000000	
0.001000	0.291218	2.322109	90.730000	10.000000	
0.001000	0.293034	2.320240	90.752000	10.000000	
0.001000	0.289326	2.307413	90.872000	10.000000	
0.001000	0.284230	2.324300	91.072000	10.000000	
0.001000	0.282747	2.303481	91.012000	10.000000	
0.001000	0.280557	2.314773	91.078000	10.000000	
0.001000	0.279287	2.317549	91.200000	10.000000	
0.001000	0.282694	2.310530	91.082000	10.000000	
0.001000	0.280469	2.310365	91.104000	10.000000	
0.001000	0.277397	2.317966	91.256000	10.000000	
0.001000	0.274141	2.321126	91.234000	10.000000	
0.001000	0.271371	2.313868	91.314000	10.000000	
0.001000	0.271376	2.324406	91.444000	10.000000	
0.001000	0.271939	2.327552	91.294000	10.000000	
0.001000	0.273728	2.314973	91.218000	10.000000	
0.001000	0.271690	2.319910	91.320000	10.000000	
0.001000	0.267801	2.323017	91.484000	10.000000	
0.001000	0.271252	2.319036	91.312000	10.000000	
0.001000	0.264994	2.317495	91.566000	10.000000	
0.001000	0.265679	2.317923	91.530000	10.000000	
0.001000	0.264750	2.318506	91.650000	10.000000	
0.001000	0.265237	2.322733	91.562000	10.000000	
0.001000	0.261987	2.323972	91.632000	10.000000	
0.001000	0.263309	2.316672	91.486000	10.000000	
0.001000	0.259468	2.316082	91.696000	10.000000	
0.001000	0.261183	2.328786	91.822000	10.000000	
0.001000	0.260169	2.317109	91.846000	10.000000	
0.001000	0.259115	2.325400	91.676000	10.000000	
0.001000	0.258112	2.322286	91.666000	10.000000	
0.001000	0.256369	2.316491	91.808000	10.000000	
0.001000	0.254004	2.321363	91.830000	10.000000	
0.001000	0.253226	2.323006	91.956000	10.000000	
0.001000	0.254210	2.333524	91.862000	10.000000	
0.001000	0.252684	2.329653	91.836000	10.000000	
0.001000	0.252906	2.326470	91.996000	10.000000	
0.001000	0.251224	2.336947	91.990000	10.000000	
0.001000	0.245086	2.337031	92.170000	10.000000	
0.001000	0.250677	2.335793	91.962000	10.000000	
0.001000	0.244569	2.329567	92.046000	10.000000	
0.001000	0.244666	2.335596	92.122000	10.000000	
0.001000	0.246695	2.333148	92.236000	10.000000	
{'arch': 'resnet', 'block_name': 'BasicBlock', 'cardinality': 8, 'change_lr': False, 'change_opti': False, 'checkpoint': None, 'ckpt_interval': 10, 'clip_grad': 10, 'clip_norm': 2, 'compressionRate': 2, 'dataset': 'cifar10', 'debug_mode': False, 'depth': 20, 'diatance': 'l_inf', 'drop': 0.0, 'epochs': 300, 'epsilon': 0.031, 'evaluate': False, 'gamma': 0.1, 'gpu_id': '3', 'growthRate': 12, 'lambada': 0.03, 'lr': 0.0010000000000000002, 'manualSeed': 1000, 'method': 'LFR', 'momentum': 0.9, 'mu': 1.0, 'nlabel': 50000, 'norm': 'l_inf', 'num_steps': 10, 'opt_g_gamma': 0.1, 'opt_g_lr': 0.1, 'opt_g_schedule': [100, 150, 200], 'opt_g_weight_decay': 0.0002, 'optimizer_type': 'SGD', 'penalty_type': 'grad', 'q': 1.0, 'resume': '', 'save_dir': '0503dc_cifar10', 'schedule': [150, 250], 'start_epoch': 0, 'step_size': 0.007, 'test_batch': 128, 'train_batch': 128, 'weight_decay': 0.0002, 'widen_factor': 6, 'workers': 4}

Best acc: 
55.85
